artist,song,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,clusters
The Webb People,I'm Sending Vibrations,0,spotify:track:19ochCEo5ILRIEu6GEshAI,0.615,0.849,5,-5.434,1,0.0957,0.511,0.344,0.491,0.732,105.053,audio_features,19ochCEo5ILRIEu6GEshAI,https://api.spotify.com/v1/tracks/19ochCEo5ILRIEu6GEshAI,https://api.spotify.com/v1/audio-analysis/19ochCEo5ILRIEu6GEshAI,173573,4,1
Ashra,Sunrain,31,spotify:track:7xrtYFSpcy2fT6xuyVZzFV,0.243,0.317,2,-15.826,1,0.0395,0.0151,0.964,0.106,0.0681,130.446,audio_features,7xrtYFSpcy2fT6xuyVZzFV,https://api.spotify.com/v1/tracks/7xrtYFSpcy2fT6xuyVZzFV,https://api.spotify.com/v1/audio-analysis/7xrtYFSpcy2fT6xuyVZzFV,452600,4,7
Wolfgang Dauners Et Cetera,Nemo's Dream - Live,6,spotify:track:4hcSnaeZRVJlciwv8njnok,0.117,0.0291,4,-23.05,1,0.0323,0.924,0.944,0.112,0.0395,73.448,audio_features,4hcSnaeZRVJlciwv8njnok,https://api.spotify.com/v1/tracks/4hcSnaeZRVJlciwv8njnok,https://api.spotify.com/v1/audio-analysis/4hcSnaeZRVJlciwv8njnok,261960,3,5
Jordi Sabatés,Children'S Song,3,spotify:track:2gUsUqTBsTiBCUOtbIa8CP,0.216,0.067,0,-25.949,1,0.0499,0.796,0.905,0.107,0.114,155.6,audio_features,2gUsUqTBsTiBCUOtbIa8CP,https://api.spotify.com/v1/tracks/2gUsUqTBsTiBCUOtbIa8CP,https://api.spotify.com/v1/audio-analysis/2gUsUqTBsTiBCUOtbIa8CP,75387,3,5
Roman IV,Lucy,11,spotify:track:1juxok2GbVvNJciZ1GkUu6,0.82,0.686,6,-11.745,0,0.0859,0.103,0.83,0.105,0.676,123.024,audio_features,1juxok2GbVvNJciZ1GkUu6,https://api.spotify.com/v1/tracks/1juxok2GbVvNJciZ1GkUu6,https://api.spotify.com/v1/audio-analysis/1juxok2GbVvNJciZ1GkUu6,433000,4,9
Daphni,Ahora,21,spotify:track:0jlVqqzqn3Uby6DoxmiTk4,0.752,0.68,6,-8.483,0,0.0494,0.0012,0.949,0.335,0.529,120.041,audio_features,0jlVqqzqn3Uby6DoxmiTk4,https://api.spotify.com/v1/tracks/0jlVqqzqn3Uby6DoxmiTk4,https://api.spotify.com/v1/audio-analysis/0jlVqqzqn3Uby6DoxmiTk4,346547,4,9
Caribou,Sun,0,spotify:track:3alV5ui9OX5Vv6AQWUMO2S,0.69,0.823,1,-7.371,1,0.0383,0.0401,0.779,0.172,0.443,127.982,audio_features,3alV5ui9OX5Vv6AQWUMO2S,https://api.spotify.com/v1/tracks/3alV5ui9OX5Vv6AQWUMO2S,https://api.spotify.com/v1/audio-analysis/3alV5ui9OX5Vv6AQWUMO2S,344920,4,9
Roberto Musci,Rack railway To,32,spotify:track:2bw2sLfWXduXE32cjEdFeI,0.282,0.604,10,-12.648,1,0.0579,0.873,0.936,0.107,0.562,90.648,audio_features,2bw2sLfWXduXE32cjEdFeI,https://api.spotify.com/v1/tracks/2bw2sLfWXduXE32cjEdFeI,https://api.spotify.com/v1/audio-analysis/2bw2sLfWXduXE32cjEdFeI,227740,4,5
Angelo Tinsley,Get Down with Me,0,spotify:track:7nPk7TF47nQSTjKpDpj1Zv,0.711,0.702,8,-9.538,1,0.0903,0.354,0.00108,0.108,0.881,133.464,audio_features,7nPk7TF47nQSTjKpDpj1Zv,https://api.spotify.com/v1/tracks/7nPk7TF47nQSTjKpDpj1Zv,https://api.spotify.com/v1/audio-analysis/7nPk7TF47nQSTjKpDpj1Zv,207960,4,4
Al Massrieen,Sah,7,spotify:track:4EBfDOUaCRqO5hbVYWsXRv,0.712,0.594,5,-8.241,0,0.174,0.681,0.166,0.0402,0.966,118.756,audio_features,4EBfDOUaCRqO5hbVYWsXRv,https://api.spotify.com/v1/tracks/4EBfDOUaCRqO5hbVYWsXRv,https://api.spotify.com/v1/audio-analysis/4EBfDOUaCRqO5hbVYWsXRv,224000,4,2
Hamid Al Shaeri,Ayonha,19,spotify:track:4ivH1TtQELnn9KEtszWfYI,0.716,0.732,9,-7.405,1,0.0291,0.535,0.0149,0.147,0.73,122.924,audio_features,4ivH1TtQELnn9KEtszWfYI,https://api.spotify.com/v1/tracks/4ivH1TtQELnn9KEtszWfYI,https://api.spotify.com/v1/audio-analysis/4ivH1TtQELnn9KEtszWfYI,221500,4,4
