danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.713,0.59,9,-12.821,0.0304,0.8,0.899,0.111,0.783,130.71,323667,4
0.577,0.919,5,-5.111,0.052,0.0263,0.121,0.0941,0.827,111.677,404417,4
0.711,0.927,2,-8.194,0.0374,0.00046,0.832,0.0506,0.46,132.029,321713,4
0.49,0.802,2,-10.973,0.0378,0.00718,0.904,0.104,0.0408,114.988,337720,4
0.558,0.489,0,-8.145,0.0442,0.866,0.868,0.164,0.336,128.541,183040,4
0.471,0.934,7,-7.869,0.0843,0.581,0.0,0.149,0.738,127.135,153400,4
0.706,0.818,9,-7.197,0.0315,0.161,2.93e-05,0.673,0.838,129.0,281683,4
0.57,0.678,2,-9.039,0.0297,0.573,0.668,0.31,0.619,160.624,160307,4
0.709,0.781,9,-6.917,0.0758,0.0407,0.00271,0.237,0.844,134.047,274547,4
0.739,0.573,0,-11.596,0.0884,0.936,0.104,0.329,0.92,93.863,228427,4
0.516,0.855,9,-5.63,0.064,0.00737,0.822,0.345,0.542,114.487,502633,4
0.219,0.549,9,-17.283,0.0342,0.243,0.292,0.111,0.539,89.161,390474,3
0.689,0.774,0,-7.579,0.0549,0.591,0.0449,0.617,0.707,107.389,255616,4
0.812,0.491,2,-15.422,0.0515,0.00152,0.554,0.0682,0.946,120.044,342672,4
0.598,0.785,10,-3.488,0.29,0.711,0.0,0.115,0.824,93.35,305354,4
0.5,0.571,4,-9.633,0.0387,0.553,0.754,0.148,0.238,89.789,339616,4
0.207,0.0947,10,-22.679,0.0417,0.343,0.0019,0.0751,0.0491,100.146,359960,4
0.378,0.825,10,-13.589,0.051,0.699,0.946,0.36,0.293,85.617,235853,4
0.714,0.332,11,-6.269,0.0779,0.0164,0.894,0.289,0.485,172.473,99030,4
0.803,0.494,9,-11.468,0.123,0.398,0.887,0.114,0.476,124.993,371333,4
0.821,0.838,7,-6.933,0.0581,0.468,0.884,0.0864,0.975,155.001,190453,4
0.455,0.499,4,-13.274,0.0299,0.000932,0.0169,0.152,0.195,97.605,194645,4
0.683,0.199,9,-17.731,0.0414,0.874,0.847,0.088,0.281,131.825,256013,4
0.681,0.61,4,-12.618,0.0339,0.00597,0.00282,0.118,0.817,96.839,256333,4
0.815,0.663,2,-7.801,0.0637,0.00184,0.00106,0.424,0.592,116.014,266954,4
0.476,0.397,1,-13.947,0.0315,0.726,0.44,0.0934,0.146,138.093,287357,4
0.597,0.48,0,-11.999,0.0396,3.89e-05,0.938,0.321,0.0621,111.005,321253,4
0.478,0.441,2,-11.19,0.0405,0.767,0.812,0.0722,0.0629,145.432,179640,4
0.478,0.747,6,-11.906,0.0726,0.614,9.49e-06,0.288,0.767,163.789,470520,4
0.663,0.866,11,-6.79,0.0431,0.198,0.685,0.0768,0.891,109.098,251190,4
0.805,0.873,1,-5.137,0.174,0.0081,0.0,0.133,0.814,112.036,302373,4
0.209,0.216,7,-20.734,0.0365,0.911,0.00854,0.215,0.431,80.849,135140,4
0.442,0.607,10,-7.262,0.0319,0.794,0.822,0.168,0.0667,104.741,274227,4
0.66,0.606,7,-12.486,0.0595,0.649,0.916,0.125,0.838,140.037,231893,4
0.789,0.318,2,-11.839,0.0387,0.864,0.0494,0.156,0.637,124.795,265373,4
